Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,BATTERY_mean,BATTERY_std
001_(14),Participants Listening to Relaxing Music,Segment_1,AF3,1.599320359212036,-0.4944987590643729,-0.13582971386181591,-1.9098905665285586,0.8077738937229392,0.15719137775960984,0.4398170502715009,0.4508505659750255,0.21749365649196886,-0.14654924782700748,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,T7,1.4549434304842215,-0.45666643937869095,-0.23494428201280654,-1.8218033436509877,1.0129213621407585,0.28191903348521363,0.3745270729564716,0.6739639736768498,0.28695771080651106,0.312440385836254,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,Pz,1.9801300632668861,-0.6715618574968598,0.0847830737469628,-2.14432859465853,0.41447175693061833,-0.2293639556081247,0.46341936003220324,0.2253967562824967,0.20428300097277102,-0.4171221427244023,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,T8,1.4504434579155774,-0.4738570469397468,-0.24507497244282067,-1.8270303460238355,1.0552503814130818,0.26500664292964965,0.33694918536699786,0.767025709136775,0.34520881723674546,0.5618064712766201,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,AF4,1.5446813569445779,-0.49344234532780745,-0.17659807303223696,-1.8820866550907054,0.91416934644897,0.19270344101074738,0.38899019639985927,0.597555679125273,0.29388215406442825,0.20515191433730687,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,AF3,1.1751910833720889,-0.16267773284277762,-0.31276197489192914,-1.777578169365906,0.6206954459371846,-0.1306233709274704,0.06095278775386973,0.9393251988067602,1.7737164216711625,-0.09065637814041817,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,T7,-0.009428008401267944,0.5378766554823267,-0.9583179638165087,-1.0063196891988762,1.531628845235692,1.2005862300179386,0.31294846487089045,0.9149024930549271,1.2800506188771692,-1.2719729292092847,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,Pz,1.6028128167211124,-0.33881151652141017,-0.05514358648834618,-2.037910295239909,0.13381971179882693,-0.5471962802724163,0.13215554251246547,0.5790400703813329,1.697473920252467,-0.6806259050898271,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,T8,0.8971263817820129,-0.07609448216033565,-0.49473230213440217,-1.6154831054584555,0.988757341426619,0.11047661270999978,-0.03824297920673405,1.3042336461998862,1.8878932468151184,0.6334131619888607,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,AF4,1.2372244225800275,-0.19446764860409468,-0.27796183343056624,-1.8170219503428886,0.5628229604638647,-0.19627804156389364,0.05996838002526027,0.9157808105215863,1.7806823374065675,-0.09791095290345532,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_3,AF3,1.8506848657830217,-0.6212960474288964,-0.47542675096187714,-1.5843336453254586,0.31663907573890393,-0.025817576271243106,-0.027692719269946226,1.015844695947048,1.8727407370693276,-0.5493004930268667,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_3,T7,0.29769142718000163,0.2933260475484327,-1.3220353572222243,-0.5380956882285699,1.531343395852494,1.7673075373639737,0.28450708063369734,1.0093449935477352,1.2336988134114408,-2.0337399349774596,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_3,Pz,2.0662543529482837,-0.7232362047465122,-0.35049696337100683,-1.7226617790372787,0.097887791686182,-0.2506357077786079,-0.014360539460897126,0.8937548657138426,1.875827974556865,-0.6808410793825025,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_3,T8,1.740040482879777,-0.5912581044826695,-0.5494879015661889,-1.521588194324197,0.47225318433345753,0.06600660499751158,-0.07492320326579532,1.1811666622150916,1.9319743051132743,-0.20529533460203755,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_3,AF4,1.9165962137030423,-0.6552049088315398,-0.43818725053669844,-1.626785728788495,0.25565421914217074,-0.09597814152432113,-0.029072411618639344,0.9914625059554752,1.8823050355966857,-0.5538988636111571,1.0000000000000002e-06,2.117582368135752e-22
001_(19),Participants Listening to Relaxing Music,Segment_1,AF3,-5.470090620368764,4.977609790771152,-0.035973505819279376,0.37847315474499693,0.0855965740837572,0.4632021370220109,0.36003905750636506,0.7342602663470578,-0.057004935276226326,-0.2427803605674773,1.0000000000000002e-06,2.117582368135752e-22
001_(19),Participants Listening to Relaxing Music,Segment_1,T7,-5.470090620368764,4.977609790771152,-0.035973505819279376,0.37847315474499693,0.0855965740837572,0.4632021370220109,0.36003905750636506,0.7342602663470578,-0.057004935276226326,-0.2427803605674773,1.0000000000000002e-06,2.117582368135752e-22
001_(19),Participants Listening to Relaxing Music,Segment_1,Pz,-5.470090620368764,4.977609790771152,-0.035973505819279376,0.37847315474499693,0.0855965740837572,0.4632021370220109,0.36003905750636506,0.7342602663470578,-0.057004935276226326,-0.2427803605674773,1.0000000000000002e-06,2.117582368135752e-22
