Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,Brain_PC11,Brain_PC12,Brain_PC13,Brain_PC14,Brain_PC15,Brain_PC16,Brain_PC17,Brain_PC18,Brain_PC19,Brain_PC20,BATTERY_mean,BATTERY_std
001_(14),Participants Listening to Relaxing Music,Segment_1,AF3,1.599320359212036,-0.4944987590643729,-0.13582971386181591,-1.9098905665285586,0.8077738937229392,0.15719137775960984,0.4398170502715009,0.4508505659750255,0.21749365649196886,-0.14654924782700748,-0.3801208746511048,0.061855503510397106,-0.5298362826157051,-0.3192085885105597,-0.03346951081182026,-0.11440737564620183,0.07575394414941727,-0.14321201176336282,0.2642980304669764,-0.26248861845871757,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,T7,1.4549434304842215,-0.45666643937869095,-0.23494428201280654,-1.8218033436509877,1.0129213621407585,0.28191903348521363,0.3745270729564716,0.6739639736768498,0.28695771080651106,0.312440385836254,-0.6784192233243875,0.1800605562266281,-0.5197941615484201,-0.4207540374839297,-0.011495158628567042,-0.09365864142061713,0.06792372806894204,-0.2983995471660907,0.3113742396229076,-0.4146661129368104,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,Pz,1.9801300632668861,-0.6715618574968598,0.0847830737469628,-2.14432859465853,0.41447175693061833,-0.2293639556081247,0.46341936003220324,0.2253967562824967,0.20428300097277102,-0.4171221427244023,-0.20086757278812797,-0.01427088236501144,-0.5498405271654054,-0.2603421730412444,-0.044835633606213815,-0.10778280275216372,0.114097241545019,-0.008381346315355122,0.2416425198067307,-0.33314055416941024,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,T8,1.4504434579155774,-0.4738570469397468,-0.24507497244282067,-1.8270303460238355,1.0552503814130818,0.26500664292964965,0.33694918536699786,0.767025709136775,0.34520881723674546,0.5618064712766201,-0.845476315803541,0.24668593286336435,-0.5093511973601254,-0.468848090914721,-0.00962401937024431,-0.08484487193655059,0.05592572107564367,-0.3727110591885516,0.3365422533458644,-0.4341172068516792,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_1,AF4,1.5446813569445779,-0.49344234532780745,-0.17659807303223696,-1.8820866550907054,0.91416934644897,0.19270344101074738,0.38899019639985927,0.597555679125273,0.29388215406442825,0.20515191433730687,-0.6109953761223512,0.14855864321639786,-0.5196434568822134,-0.38239203659985466,-0.02633251022089217,-0.10806616327227368,0.07978019963436855,-0.14459315907417755,0.2676682707787218,-0.27994020337457226,1.0000000000000004e-06,4.235164736271504e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,AF3,1.1751910833720889,-0.16267773284277762,-0.31276197489192914,-1.777578169365906,0.6206954459371846,-0.1306233709274704,0.06095278775386973,0.9393251988067602,1.7737164216711625,-0.09065637814041817,-0.02986440530710821,0.410006671339237,-0.3880690215742632,-0.24794485000980002,-0.601224232907674,0.14662181799608717,-0.03608875765150348,-0.0765031133595475,0.30109798475937466,-0.3185346546170271,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,T7,-0.009428008401267944,0.5378766554823267,-0.9583179638165087,-1.0063196891988762,1.531628845235692,1.2005862300179386,0.31294846487089045,0.9149024930549271,1.2800506188771692,-1.2719729292092847,0.7319373458546256,0.19848948649761966,-0.3910688414105771,-0.1289701003191249,-0.6002656009198355,0.18317420929673223,-0.3655810894480969,-1.5646850326130666,0.47415743113607656,-0.23966536773800934,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,Pz,1.6028128167211124,-0.33881151652141017,-0.05514358648834618,-2.037910295239909,0.13381971179882693,-0.5471962802724163,0.13215554251246547,0.5790400703813329,1.697473920252467,-0.6806259050898271,0.35734203869862363,0.2553836737639582,-0.4150399214247031,-0.12666568604305506,-0.6236032064193076,0.1441130758754592,-0.004727708432275644,0.07983293991025425,0.2646019856844681,-0.3222685150819137,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,T8,0.8971263817820129,-0.07609448216033565,-0.49473230213440217,-1.6154831054584555,0.988757341426619,0.11047661270999978,-0.03824297920673405,1.3042336461998862,1.8878932468151184,0.6334131619888607,-0.5078953844968428,0.6051436010919725,-0.36043308970035065,-0.4060076897896779,-0.5763578380831942,0.1736322738436924,-0.08052118796632589,-0.39672088625472984,0.39187997125888313,-0.45618309535655094,1.0000000000000002e-06,2.117582368135752e-22
001_(14),Participants Listening to Relaxing Music,Segment_2,AF4,1.2372244225800275,-0.19446764860409468,-0.27796183343056624,-1.8170219503428886,0.5628229604638647,-0.19627804156389364,0.05996838002526027,0.9157808105215863,1.7806823374065675,-0.09791095290345532,-0.02547459188191259,0.4077011581575011,-0.3902437394913878,-0.24490012983906043,-0.6035658730880359,0.1503030369361331,-0.033423694276331094,-0.0719371944806272,0.29787429805115945,-0.3286674816338051,1.0000000000000002e-06,2.117582368135752e-22
